distance_km,estimated_duration_min,avg_speed_kmh,road_type_score,traffic_level,weather_risk,rainfall_mm,time_of_day,day_of_week,urban_density,accident_risk_score,construction_risk_score,elevation_variation,temperature_c,humidity,wind_speed_kmh,season,region_type,vehicle_load_factor,road_condition_label
20.65,34.95,35.45,0.65,0.7,0.44,2.65,night,friday,0.67,0.52,0.23,7.85,3.59,0.56,13.74,autumn,suburban,0.49,Moderate
309.76,283.14,65.64,0.85,0.32,0.34,1.88,early_morning,saturday,0.32,0.32,0.25,27.45,7.43,0.6,21.1,spring,regional,0.44,Excellent
29.98,60.3,29.83,0.48,0.74,0.59,5.1,evening,monday,0.93,0.62,0.31,10.42,6.45,0.67,12.6,autumn,urban,0.41,Poor
6.57,17.4,22.65,0.57,0.85,0.46,4.58,morning_peak,friday,0.74,0.61,0.36,2.87,4.09,0.71,18.29,autumn,urban,0.56,Poor
34.24,44.83,45.83,0.64,0.73,0.55,1.48,morning_peak,monday,0.53,0.48,0.37,12.27,0.33,0.63,21.71,winter,suburban,0.51,Moderate
159.33,141.09,67.76,0.75,0.69,0.31,3.86,afternoon_peak,friday,0.31,0.52,0.16,20.07,10.72,0.57,13.1,spring,regional,0.57,Good
27.16,88.26,18.47,0.37,0.71,0.18,0.85,early_morning,friday,0.95,0.43,0.36,1.0,6.76,0.65,19.17,spring,urban,0.49,Moderate
84.21,86.83,58.19,0.72,0.54,0.73,6.6,evening,tuesday,0.57,0.47,0.24,6.03,7.76,0.76,25.29,winter,suburban,0.44,Moderate
29.79,35.03,51.01,0.65,0.59,0.17,0.0,early_morning,thursday,0.67,0.5,0.45,7.87,19.54,0.56,17.31,summer,suburban,0.42,Good
72.82,51.07,85.55,0.95,0.34,0.37,1.89,midday,thursday,0.24,0.36,0.12,9.49,9.75,0.57,19.74,spring,regional,0.27,Excellent
235.98,170.4,83.09,0.9,0.52,0.46,2.96,night,friday,0.41,0.35,0.25,31.99,4.11,0.65,25.06,spring,regional,0.4,Good
255.33,162.83,94.08,0.82,0.25,0.36,0.05,midday,sunday,0.15,0.27,0.1,26.66,9.94,0.63,11.83,spring,regional,0.29,Excellent
18.41,46.77,23.62,0.26,0.58,0.29,0.0,early_morning,saturday,0.9,0.4,0.35,3.92,16.38,0.65,26.75,summer,urban,0.41,Moderate
33.63,37.18,54.28,0.47,0.31,0.19,3.92,night,saturday,0.52,0.25,0.43,8.29,13.59,0.52,22.34,summer,suburban,0.32,Good
282.7,198.94,85.26,0.74,0.51,0.27,2.8,morning_peak,thursday,0.19,0.41,0.22,38.53,13.34,0.53,13.42,autumn,regional,0.5,Good
77.89,103.07,45.34,0.49,0.69,0.44,6.04,evening,friday,0.65,0.37,0.23,6.32,0.99,0.62,24.76,autumn,suburban,0.41,Moderate
5.69,17.08,20.0,0.32,0.72,0.67,2.92,midday,monday,0.9,0.58,0.25,1.0,0.66,0.68,23.94,winter,urban,0.46,Poor
10.39,38.56,16.17,0.56,0.78,0.34,2.12,afternoon_peak,wednesday,0.79,0.42,0.35,8.87,9.63,0.58,18.39,spring,urban,0.37,Moderate
57.2,59.27,57.9,0.7,0.49,0.46,5.31,evening,monday,0.44,0.44,0.29,11.77,6.32,0.73,25.68,autumn,suburban,0.46,Moderate
8.63,19.15,27.06,0.48,0.82,0.64,6.05,early_morning,wednesday,0.91,0.58,0.33,1.0,3.09,0.73,18.53,winter,urban,0.52,Poor
21.41,47.99,26.77,0.27,0.57,0.51,5.97,midday,saturday,0.77,0.4,0.3,1.49,14.1,0.71,25.3,autumn,urban,0.44,Moderate
49.56,54.94,54.13,0.71,0.31,0.43,5.01,midday,sunday,0.38,0.29,0.2,15.15,5.44,0.64,21.37,autumn,suburban,0.18,Excellent
69.16,76.25,54.42,0.46,0.69,0.11,1.63,afternoon_peak,friday,0.57,0.42,0.41,18.3,25.62,0.59,12.32,summer,suburban,0.48,Moderate
46.14,60.29,45.92,0.56,0.49,0.33,1.83,night,thursday,0.45,0.36,0.24,8.11,3.23,0.62,12.09,spring,suburban,0.44,Good
82.03,130.05,37.85,0.6,0.57,0.28,3.12,midday,monday,0.6,0.43,0.2,5.1,4.56,0.58,21.74,spring,suburban,0.5,Good
112.11,85.73,78.46,0.93,0.48,0.22,1.89,morning_peak,thursday,0.17,0.35,0.29,23.27,24.35,0.55,13.26,summer,regional,0.3,Excellent
23.89,72.24,19.84,0.54,0.97,0.41,2.18,morning_peak,wednesday,0.95,0.58,0.32,15.32,6.71,0.58,17.6,spring,urban,0.61,Poor
8.58,27.05,19.03,0.32,0.76,0.55,7.67,night,thursday,0.86,0.39,0.29,6.37,11.16,0.71,26.0,autumn,urban,0.52,Moderate
13.59,29.36,27.77,0.46,0.77,0.61,6.96,early_morning,wednesday,0.93,0.6,0.31,1.38,4.54,0.7,19.82,autumn,urban,0.51,Poor
45.66,64.21,42.66,0.64,0.78,0.36,2.47,afternoon_peak,tuesday,0.6,0.48,0.29,6.14,4.38,0.62,23.16,autumn,suburban,0.56,Moderate
179.87,145.81,74.01,0.77,0.6,0.27,2.11,afternoon_peak,thursday,0.39,0.36,0.28,20.28,7.5,0.58,20.35,spring,regional,0.6,Good
7.88,15.56,30.4,0.47,0.87,0.23,2.12,morning_peak,monday,0.77,0.52,0.5,10.57,17.98,0.44,14.18,summer,urban,0.51,Moderate
271.31,205.73,79.13,0.82,0.38,0.12,0.28,night,wednesday,0.22,0.31,0.26,24.68,19.75,0.53,9.22,summer,regional,0.57,Excellent
153.65,105.94,87.02,0.91,0.5,0.3,2.39,afternoon_peak,tuesday,0.19,0.31,0.13,15.15,8.21,0.65,16.61,spring,regional,0.41,Excellent
22.07,22.63,58.53,0.52,0.45,0.37,4.88,early_morning,sunday,0.65,0.35,0.32,6.67,10.03,0.59,17.02,autumn,suburban,0.44,Moderate
58.63,39.67,88.68,0.75,0.35,0.24,2.48,midday,wednesday,0.32,0.32,0.2,9.2,4.39,0.62,15.64,spring,regional,0.39,Excellent
25.69,49.73,31.0,0.47,0.61,0.6,6.56,midday,monday,0.69,0.5,0.27,12.5,7.03,0.69,20.57,winter,urban,0.44,Moderate
66.86,111.89,35.85,0.45,0.72,0.38,3.63,morning_peak,tuesday,0.42,0.56,0.24,9.36,11.79,0.62,14.19,spring,suburban,0.34,Moderate
190.99,200.19,57.24,0.88,0.61,0.21,1.65,afternoon_peak,friday,0.37,0.43,0.18,20.02,2.6,0.49,16.58,spring,regional,0.54,Good
282.05,229.52,73.73,0.68,0.7,0.7,9.61,morning_peak,monday,0.31,0.49,0.16,33.99,-3.41,0.84,33.8,winter,regional,0.47,Moderate
5.55,12.39,26.87,0.34,0.64,0.47,3.83,midday,wednesday,0.79,0.48,0.23,11.07,1.0,0.58,10.95,autumn,urban,0.53,Moderate
20.15,36.48,33.15,0.31,0.68,0.31,1.66,night,wednesday,0.94,0.41,0.42,12.0,11.47,0.58,19.85,spring,urban,0.57,Moderate
132.25,101.95,77.84,0.82,0.29,0.42,3.45,midday,sunday,0.26,0.37,0.27,15.07,8.07,0.63,28.7,autumn,regional,0.28,Excellent
58.93,43.76,80.8,0.76,0.61,0.48,3.17,afternoon_peak,thursday,0.4,0.51,0.1,1.0,14.77,0.67,18.91,autumn,regional,0.44,Good
87.56,75.25,69.81,0.8,0.67,0.17,1.17,morning_peak,thursday,0.35,0.42,0.26,14.77,0.66,0.47,17.27,spring,regional,0.31,Good
73.15,74.77,58.7,0.53,0.5,0.33,3.64,evening,monday,0.48,0.44,0.15,11.0,8.91,0.55,14.2,spring,suburban,0.41,Good
15.34,55.79,16.5,0.57,0.79,0.52,4.45,night,monday,0.94,0.56,0.27,16.78,6.89,0.69,19.19,spring,urban,0.47,Poor
5.68,13.28,25.64,0.3,0.6,0.45,3.04,early_morning,saturday,0.95,0.4,0.31,6.34,13.45,0.68,11.33,autumn,urban,0.51,Moderate
78.64,61.53,76.69,0.82,0.34,0.6,4.01,night,saturday,0.36,0.34,0.23,16.53,2.99,0.69,19.18,autumn,regional,0.34,Good
83.23,90.87,54.95,0.61,0.59,0.71,2.69,morning_peak,monday,0.45,0.51,0.26,13.92,4.28,0.73,21.1,winter,suburban,0.46,Moderate
104.87,86.11,73.07,0.96,0.38,0.46,3.59,early_morning,wednesday,0.25,0.41,0.26,15.66,13.3,0.65,15.44,autumn,regional,0.32,Excellent
84.62,109.43,46.4,0.59,0.57,0.07,0.28,midday,thursday,0.55,0.35,0.38,7.8,24.07,0.49,25.63,summer,suburban,0.45,Good
37.38,37.52,59.77,0.66,0.58,0.22,2.55,afternoon_peak,saturday,0.61,0.46,0.3,7.54,12.29,0.48,7.2,summer,suburban,0.42,Good
9.53,18.98,30.15,0.42,0.74,0.68,4.29,morning_peak,sunday,0.77,0.53,0.26,4.65,2.21,0.67,25.64,winter,urban,0.43,Poor
262.45,221.94,70.95,0.75,0.23,0.22,1.26,midday,saturday,0.19,0.17,0.37,29.47,18.27,0.64,14.66,summer,regional,0.25,Excellent
56.79,61.82,55.11,0.75,0.56,0.28,0.0,night,saturday,0.68,0.51,0.48,2.72,19.24,0.6,16.78,summer,suburban,0.36,Moderate
151.44,96.55,94.11,0.84,0.32,0.42,3.0,morning_peak,saturday,0.2,0.31,0.17,9.24,7.67,0.55,16.38,autumn,regional,0.35,Excellent
26.81,52.2,30.81,0.34,0.84,0.54,4.23,afternoon_peak,monday,0.76,0.57,0.21,1.0,9.95,0.67,21.71,autumn,urban,0.6,Moderate
15.07,44.85,20.16,0.37,0.56,0.14,0.06,early_morning,saturday,0.92,0.39,0.49,6.81,19.51,0.5,10.35,summer,urban,0.51,Good
16.99,33.14,30.76,0.51,0.82,0.32,1.98,morning_peak,tuesday,0.77,0.53,0.47,1.0,11.13,0.59,13.61,spring,urban,0.48,Moderate
269.82,174.64,92.7,0.64,0.16,0.55,6.13,evening,sunday,0.19,0.3,0.25,25.63,-5.56,0.7,29.42,winter,regional,0.24,Good
18.15,37.57,28.98,0.38,0.68,0.72,7.53,midday,tuesday,0.87,0.55,0.21,9.21,3.05,0.74,16.16,winter,urban,0.61,Poor
75.91,96.15,47.37,0.7,0.41,0.49,3.01,midday,monday,0.48,0.32,0.2,8.67,11.46,0.58,24.94,autumn,suburban,0.29,Good
15.1,30.7,29.51,0.27,0.64,0.19,2.22,early_morning,saturday,0.98,0.43,0.48,1.0,7.14,0.47,19.05,spring,urban,0.38,Moderate
214.72,133.32,96.63,0.94,0.22,0.23,0.33,midday,wednesday,0.18,0.32,0.37,14.49,15.89,0.55,11.08,summer,regional,0.27,Excellent
25.68,58.29,26.44,0.54,0.77,0.5,4.76,afternoon_peak,saturday,0.88,0.61,0.33,4.11,-1.78,0.59,23.05,winter,urban,0.53,Moderate
102.4,97.93,62.74,0.95,0.58,0.71,7.77,morning_peak,friday,0.33,0.47,0.15,8.3,1.78,0.86,18.85,winter,regional,0.36,Good
10.64,22.74,28.07,0.43,0.67,0.76,7.57,evening,wednesday,0.95,0.55,0.42,8.9,-2.99,0.7,25.05,winter,urban,0.32,Poor
27.83,38.52,43.36,0.42,0.64,0.33,1.01,morning_peak,wednesday,0.41,0.43,0.23,8.44,8.23,0.58,17.18,autumn,suburban,0.42,Moderate
309.69,268.94,69.09,0.72,0.37,0.14,2.67,evening,friday,0.19,0.34,0.38,34.88,9.57,0.53,12.7,summer,regional,0.36,Excellent
116.32,85.57,81.56,0.82,0.26,0.5,4.96,evening,sunday,0.22,0.27,0.25,5.82,10.04,0.61,17.06,autumn,regional,0.17,Excellent
11.7,28.48,24.65,0.27,0.79,0.38,0.82,afternoon_peak,tuesday,0.7,0.53,0.35,6.39,14.65,0.64,11.58,spring,urban,0.5,Moderate
20.78,68.53,18.2,0.41,1.0,0.73,4.8,afternoon_peak,friday,0.99,0.61,0.22,7.0,1.91,0.83,21.72,winter,urban,0.61,Poor
5.19,13.69,22.75,0.4,0.8,0.21,3.59,morning_peak,thursday,0.75,0.5,0.23,4.58,11.48,0.57,16.35,spring,urban,0.49,Moderate
56.88,87.97,38.79,0.63,0.5,0.53,4.21,afternoon_peak,saturday,0.52,0.48,0.22,3.46,-3.27,0.73,23.72,winter,suburban,0.44,Good
145.22,107.97,80.7,0.71,0.38,0.19,0.21,evening,tuesday,0.38,0.42,0.31,11.26,14.99,0.51,4.99,summer,regional,0.34,Excellent
297.54,189.79,94.06,0.66,0.27,0.16,0.21,midday,saturday,0.32,0.26,0.33,31.79,17.65,0.54,15.19,summer,regional,0.35,Excellent
30.13,31.97,56.54,0.56,0.54,0.16,1.28,early_morning,monday,0.54,0.4,0.31,8.36,14.77,0.53,10.16,summer,suburban,0.42,Good
31.47,71.6,26.37,0.4,0.64,0.37,4.84,night,thursday,0.69,0.49,0.21,15.4,12.5,0.55,25.94,autumn,urban,0.45,Moderate
48.68,63.3,46.14,0.51,0.55,0.5,1.08,night,wednesday,0.71,0.43,0.26,11.19,6.73,0.67,21.61,winter,suburban,0.42,Moderate
13.77,37.21,22.2,0.4,0.67,0.23,1.39,midday,tuesday,0.91,0.46,0.53,19.39,13.1,0.49,17.83,summer,urban,0.5,Moderate
88.16,77.19,68.52,0.81,0.34,0.18,2.11,midday,sunday,0.28,0.24,0.33,11.34,10.09,0.51,6.97,summer,regional,0.32,Excellent
25.19,67.25,22.47,0.56,0.93,0.57,6.56,morning_peak,monday,1.0,0.65,0.35,9.94,4.78,0.72,24.66,winter,urban,0.52,Poor
249.1,176.75,84.56,0.84,0.4,0.64,5.26,early_morning,friday,0.36,0.42,0.21,24.24,3.46,0.76,24.99,winter,regional,0.44,Good
23.08,30.73,45.06,0.62,0.58,0.31,3.76,midday,tuesday,0.5,0.44,0.26,10.08,7.59,0.6,13.01,spring,suburban,0.5,Good
20.74,51.54,24.14,0.27,0.75,0.24,0.26,early_morning,friday,0.94,0.43,0.42,9.05,19.33,0.56,17.0,summer,urban,0.46,Moderate
18.41,17.63,62.63,0.75,0.44,0.41,3.07,night,thursday,0.42,0.42,0.26,8.01,10.21,0.56,21.68,autumn,suburban,0.34,Moderate
7.82,18.78,24.99,0.37,0.71,0.41,2.94,evening,friday,0.78,0.45,0.3,3.55,9.28,0.63,10.72,autumn,urban,0.45,Moderate
69.94,81.3,51.61,0.57,0.53,0.58,1.89,night,thursday,0.4,0.46,0.19,2.17,9.61,0.7,20.06,autumn,suburban,0.36,Moderate
272.99,278.73,58.77,0.77,0.53,0.75,3.3,morning_peak,thursday,0.31,0.45,0.2,31.99,-2.11,0.76,23.55,winter,regional,0.4,Moderate
24.43,57.74,25.38,0.5,0.63,0.26,2.04,early_morning,monday,0.98,0.44,0.33,2.03,20.2,0.57,19.42,summer,urban,0.43,Moderate
4.91,16.66,17.69,0.38,0.63,0.23,2.82,night,thursday,0.7,0.44,0.29,9.92,14.94,0.52,10.08,autumn,urban,0.47,Moderate
17.05,21.71,47.12,0.52,0.82,0.39,4.17,morning_peak,monday,0.63,0.55,0.25,3.19,14.44,0.6,11.55,summer,suburban,0.5,Poor
171.58,125.72,81.89,0.86,0.32,0.65,4.46,early_morning,saturday,0.39,0.42,0.23,5.81,6.06,0.74,30.29,winter,regional,0.26,Good
47.28,33.8,83.93,0.89,0.56,0.56,3.56,morning_peak,tuesday,0.13,0.46,0.23,2.93,9.25,0.68,9.73,autumn,regional,0.37,Good
70.82,105.39,40.32,0.62,0.57,0.61,5.45,evening,friday,0.46,0.46,0.33,15.26,20.13,0.69,22.4,autumn,suburban,0.37,Moderate
24.32,51.79,28.17,0.48,0.62,0.46,3.67,night,monday,0.7,0.52,0.19,9.29,7.54,0.62,23.42,autumn,urban,0.44,Moderate
5.37,12.87,25.06,0.44,0.83,0.26,2.0,afternoon_peak,thursday,0.81,0.48,0.42,1.0,19.16,0.52,5.76,summer,urban,0.48,Poor
134.73,105.73,76.45,0.93,0.56,0.6,2.5,afternoon_peak,thursday,0.25,0.4,0.2,23.89,7.69,0.76,30.53,autumn,regional,0.47,Good
299.16,225.04,79.76,0.64,0.57,0.53,5.33,afternoon_peak,monday,0.24,0.5,0.18,31.78,8.5,0.71,33.02,autumn,regional,0.47,Good
156.24,131.74,71.16,0.65,0.26,0.17,0.4,midday,friday,0.16,0.25,0.37,16.58,23.29,0.48,11.8,summer,regional,0.34,Excellent
227.98,176.19,77.64,0.96,0.52,0.18,0.55,afternoon_peak,thursday,0.12,0.34,0.32,26.32,23.51,0.53,18.24,summer,regional,0.52,Excellent
62.57,81.38,46.13,0.51,0.55,0.28,4.07,morning_peak,sunday,0.39,0.42,0.33,17.54,16.77,0.58,18.53,summer,suburban,0.46,Good
229.63,171.74,80.22,0.66,0.62,0.34,1.98,afternoon_peak,thursday,0.38,0.47,0.2,28.11,14.33,0.59,18.14,autumn,regional,0.54,Good
15.39,38.49,24.0,0.56,0.63,0.36,3.62,early_morning,sunday,0.98,0.45,0.37,1.0,2.06,0.59,27.1,spring,urban,0.42,Moderate
27.05,52.28,31.04,0.54,0.86,0.27,2.65,evening,tuesday,0.97,0.6,0.61,9.36,19.88,0.59,4.95,summer,urban,0.55,Moderate
26.48,33.19,47.87,0.69,0.61,0.38,5.8,evening,tuesday,0.62,0.48,0.4,8.47,5.67,0.62,20.12,spring,suburban,0.34,Moderate
73.37,109.94,40.04,0.56,0.65,0.1,1.91,morning_peak,monday,0.51,0.32,0.36,7.91,21.29,0.43,5.66,summer,suburban,0.41,Good
271.22,238.64,68.19,0.83,0.43,0.3,3.0,evening,wednesday,0.17,0.42,0.33,31.4,17.78,0.58,9.07,summer,regional,0.42,Excellent
233.03,198.19,70.55,0.94,0.36,0.2,1.84,evening,wednesday,0.26,0.33,0.35,19.71,14.69,0.44,20.43,summer,regional,0.36,Excellent
69.28,69.45,59.86,0.56,0.48,0.25,3.39,evening,tuesday,0.43,0.4,0.26,17.37,8.04,0.53,19.43,spring,suburban,0.28,Good
94.47,87.38,64.87,0.63,0.47,0.2,0.8,morning_peak,friday,0.27,0.38,0.24,12.29,12.82,0.51,24.0,spring,regional,0.32,Good
27.55,62.45,26.47,0.3,0.96,0.54,5.01,afternoon_peak,wednesday,1.0,0.56,0.35,11.4,10.46,0.67,20.34,autumn,urban,0.59,Very Poor
147.13,109.67,80.5,0.65,0.37,0.32,2.94,night,thursday,0.37,0.3,0.51,22.73,17.06,0.56,9.28,summer,regional,0.38,Excellent
5.26,20.53,15.37,0.48,0.92,0.05,1.18,morning_peak,tuesday,0.96,0.46,0.52,8.78,19.33,0.41,17.19,summer,urban,0.47,Moderate
16.63,37.52,26.6,0.52,0.86,0.47,5.0,morning_peak,friday,0.83,0.53,0.25,12.85,11.86,0.67,17.68,autumn,urban,0.57,Poor
260.99,165.83,94.43,0.89,0.34,0.39,3.8,midday,wednesday,0.22,0.4,0.16,23.58,11.29,0.64,15.71,spring,regional,0.46,Excellent
10.99,30.96,21.29,0.32,0.61,0.14,0.05,early_morning,wednesday,0.72,0.41,0.48,1.0,21.01,0.43,17.9,summer,urban,0.48,Good
31.63,100.16,18.95,0.57,0.75,0.52,4.26,afternoon_peak,thursday,0.71,0.56,0.28,12.01,10.3,0.68,25.98,autumn,urban,0.54,Moderate
8.34,29.69,16.85,0.53,0.6,0.31,1.19,midday,friday,0.76,0.58,0.47,1.0,12.13,0.56,9.55,summer,urban,0.37,Moderate
35.48,56.34,37.78,0.51,0.34,0.37,3.69,midday,friday,0.41,0.34,0.28,12.54,13.58,0.63,21.53,autumn,suburban,0.34,Good
48.13,33.25,86.84,0.95,0.5,0.08,0.85,morning_peak,wednesday,0.19,0.32,0.25,12.96,15.76,0.44,18.04,summer,regional,0.37,Excellent
64.28,108.37,35.59,0.64,0.91,0.61,1.71,afternoon_peak,friday,0.68,0.57,0.21,5.92,10.9,0.75,16.39,autumn,suburban,0.62,Poor
19.16,27.48,41.83,0.63,0.5,0.29,2.7,night,tuesday,0.66,0.4,0.4,4.87,18.1,0.66,20.33,summer,suburban,0.49,Moderate
149.21,132.14,67.75,0.79,0.65,0.63,5.44,morning_peak,wednesday,0.34,0.43,0.18,16.08,2.72,0.65,23.86,winter,regional,0.54,Moderate
29.88,62.05,28.89,0.4,0.66,0.56,5.04,midday,thursday,0.92,0.44,0.31,7.69,7.68,0.8,23.55,winter,urban,0.43,Moderate
28.72,77.81,22.15,0.4,0.78,0.37,2.66,morning_peak,wednesday,0.8,0.49,0.35,4.97,25.86,0.67,17.44,summer,urban,0.39,Poor
25.31,67.69,22.43,0.32,0.73,0.65,7.54,evening,friday,0.78,0.54,0.32,2.21,7.5,0.62,17.87,winter,urban,0.49,Poor
132.84,99.89,79.79,0.69,0.61,0.47,4.95,afternoon_peak,friday,0.31,0.45,0.19,15.63,6.44,0.71,19.4,autumn,regional,0.47,Moderate
21.41,30.49,42.12,0.76,0.73,0.57,3.17,afternoon_peak,tuesday,0.61,0.54,0.25,5.73,2.18,0.7,36.36,winter,suburban,0.51,Poor
272.49,218.42,74.85,0.62,0.46,0.26,0.53,afternoon_peak,friday,0.18,0.32,0.38,19.99,16.12,0.57,11.39,summer,regional,0.46,Good
205.1,160.16,76.84,0.86,0.51,0.54,2.73,early_morning,tuesday,0.42,0.38,0.28,21.07,1.68,0.73,23.65,winter,regional,0.43,Good
96.68,75.69,76.64,0.82,0.53,0.49,4.92,morning_peak,monday,0.13,0.46,0.21,8.1,9.83,0.67,22.78,autumn,regional,0.44,Good
26.14,59.72,26.26,0.3,0.84,0.6,3.48,afternoon_peak,wednesday,0.87,0.59,0.42,7.29,1.04,0.72,28.18,winter,urban,0.48,Poor
19.3,19.51,59.34,0.47,0.52,0.35,2.65,midday,monday,0.44,0.44,0.17,10.86,5.33,0.55,13.9,spring,suburban,0.46,Good
54.89,49.49,66.54,0.66,0.48,0.24,0.22,midday,tuesday,0.36,0.37,0.28,4.28,12.55,0.51,12.21,summer,regional,0.31,Good
71.85,107.17,40.23,0.61,0.75,0.15,0.84,afternoon_peak,friday,0.54,0.4,0.39,13.27,18.16,0.57,11.26,summer,suburban,0.56,Moderate
67.21,108.99,37.0,0.59,0.51,0.11,1.14,night,thursday,0.55,0.33,0.33,13.73,24.04,0.42,11.76,summer,suburban,0.43,Good
12.71,24.93,30.6,0.39,0.57,0.07,1.01,early_morning,monday,0.68,0.39,0.48,3.17,12.38,0.54,13.78,summer,urban,0.38,Moderate
36.83,61.59,35.88,0.48,0.6,0.45,6.08,midday,tuesday,0.66,0.51,0.16,1.29,8.49,0.62,19.11,autumn,suburban,0.31,Moderate
37.27,54.89,40.74,0.63,0.72,0.1,1.2,morning_peak,friday,0.58,0.43,0.44,9.19,15.67,0.47,16.77,summer,suburban,0.45,Moderate
79.33,92.71,51.34,0.49,0.53,0.44,3.33,evening,tuesday,0.57,0.49,0.25,7.0,13.45,0.64,25.44,autumn,suburban,0.45,Good
285.41,223.66,76.57,0.91,0.34,0.62,2.46,midday,saturday,0.38,0.31,0.26,21.44,0.51,0.71,22.59,winter,regional,0.38,Good
85.86,60.1,85.72,0.65,0.43,0.37,3.06,midday,friday,0.28,0.37,0.15,11.7,6.9,0.47,13.89,spring,regional,0.23,Good
23.01,41.92,32.94,0.36,0.53,0.25,0.4,midday,saturday,0.92,0.41,0.31,6.97,5.14,0.59,15.6,spring,urban,0.52,Excellent
12.44,32.78,22.76,0.57,0.78,0.53,3.28,afternoon_peak,friday,0.78,0.51,0.32,9.12,8.02,0.66,10.71,autumn,urban,0.57,Moderate
100.29,90.82,66.26,0.83,0.27,0.02,0.0,evening,friday,0.27,0.31,0.41,12.71,18.46,0.4,14.33,summer,regional,0.29,Excellent
32.3,34.66,55.92,0.67,0.77,0.15,0.66,afternoon_peak,saturday,0.71,0.56,0.41,16.21,18.4,0.54,10.74,summer,suburban,0.51,Moderate
5.36,17.54,18.35,0.41,0.61,0.68,3.24,midday,saturday,0.69,0.44,0.33,4.94,0.59,0.75,19.28,winter,urban,0.36,Moderate
191.6,160.2,71.76,0.81,0.29,0.52,4.86,evening,saturday,0.22,0.4,0.17,23.77,1.57,0.66,29.69,winter,regional,0.46,Good
126.37,118.42,64.03,0.74,0.66,0.3,4.11,morning_peak,friday,0.25,0.39,0.28,17.29,8.03,0.56,19.97,spring,regional,0.47,Moderate
6.43,11.75,32.84,0.58,0.61,0.51,4.37,evening,wednesday,0.69,0.46,0.24,4.72,12.63,0.66,20.06,autumn,urban,0.34,Moderate
204.68,191.4,64.16,0.75,0.46,0.19,1.61,evening,thursday,0.33,0.37,0.24,19.6,9.71,0.57,12.93,spring,regional,0.44,Excellent
61.38,46.98,78.39,0.7,0.62,0.16,1.08,afternoon_peak,wednesday,0.37,0.48,0.29,8.06,18.45,0.48,17.59,summer,regional,0.54,Good
